Article_ID,Product_Description,Material,Supplier_Name,POL_Country
TX-4401,Organic Cotton Yarn,Cotton,Indus Tex,Pakistan
TX-4402,Industrial Denim Roll,Denim,Blue Fabric Co,Turkey
TX-4403,Synthetic Polyester,Polyester,Shengze Ltd,China
TX-4404,Raw Silk Bolts,Silk,Mysore Silks,India
TX-4405,Recycled Wool Mix,Wool,Prato Fabrics,Italy
TX-4408,Printed Jersey,Cotton,Cairo Cotton,Egypt
TX-4409,Waterproof Canvas,Tech-Textile,Hanwha Corp,South Korea
TX-4410,Hemp Fiber,Hemp,Yunnan Green,China
TX-4411,Spandex Elastic,Spandex,Hyosung,Vietnam
TX-4412,Jacquard Upholstery,Blend,Istanbul Weavers,Turkey
TX-4413,Microfiber Cloth,Microfiber,MicroTech,China
TX-4414,Rayon Viscose,Rayon,Birla Cell,India
TX-4415,Corduroy Fabric,Cotton,Manchester Mills,UK
TX-4416,Satin Ribbons,Silk/Poly,Suzhou Ribbon,China
TX-4418,Bamboo Fiber,Bamboo,Green Bamboo,Vietnam
TX-4419,Velvet Fabric,Silk/Poly,Lyon Velours,France
TX-4420,Fleece Material,Polyester,PolarTex,USA